,rank,tax_id,tax_name,colind,CC11CM22,CC11CM5,CC11CM20,CC11CM12,CC11CM68,CC11CM2,CC11CM58,CC11CM95,CC11CM17,CC11CM87,CC11CM48,CC11CM35,CC11CM66,CC11CM1,CC11CM84,CC11CM33,CC11CM21,CC11CM39,CC11CM0,CC11CM63,CC11CM44,CC11CM55,CC11CM41,CC11CM25,CC11CM69,CC11CM11,CC11CM89,CC11CM96,CC11CM47,CC11CM40,CC11CM83,CC11CM15,CC11CM70,CC11CM73,CC11CM7,CC11CM6,CC11CM18,CC11CM98,CC11CM36,CC11CM8,CC11CM82,CC11CM26,CC11CM9,CC11CM94,CC11CM78,CC11CM81,CC11CM38,CC11CM75,CC11CM28,CC11CM32,CC11CM88,CC11CM54,CC11CM16,CC11CM4,CC11CM67,CC11CM27,CC11CM79,CC11CM72,CC11CM42,CC11CM76,CC11CM77,CC11CM57,CC11CM56,CC11CM62,CC11CM99,CC11CM64,CC11CM37,CC11CM10,CC11CM97,CC11CM93,CC11CM23,CC11CM61,CC11CM14,CC11CM59,CC11CM60,CC11CM46,CC11CM45,CC11CM53,CC11CM43,CC11CM71,CC11CM3,CC11CM86,CC11CM29,CC11CM31,CC11CM30,CC11CM19,CC11CM85,CC11CM80,CC11CM24,CC11CM52,CC11CM91,CC11CM90,CC11CM13,CC11CM92,CC11CM51,CC11CM65,CC11CM74,CC11CM34,CC11CM50,CC11CM49
10,genus,551771,Vulcanibacillus,AB698912.1.1514,121.0,,265.0,148.0,108.0,,,,,50.0,,4.0,,,,,,307.0,,,262.0,,,,92.0,,13.0,,,96.0,,239.0,,,446.0,,,108.0,,,225.0,,172.0,,,,90.0,,,37.0,80.0,232.0,,261.0,,,,,33.0,,,,,,456.0,530.0,,,,,,,,,,426.0,,,,,,400.0,,,,165.0,100.0,,242.0,,,,,264.0,640.0,,373.0,,,
11,genus,551771,Vulcanibacillus,AB793710.1.1451,63.0,,,9.0,,239.0,,,45.0,,76.0,116.0,,75.0,,73.0,,40.0,46.0,36.0,73.0,,,37.0,16.0,50.0,114.0,,2.0,,71.0,45.0,,,,,59.0,,44.0,18.0,83.0,,20.0,,88.0,51.0,64.0,28.0,3.0,22.0,56.0,,5.0,,,74.0,49.0,36.0,94.0,,,140.0,,26.0,49.0,47.0,,41.0,,73.0,54.0,,39.0,19.0,,96.0,,,,30.0,16.0,145.0,,,66.0,15.0,,,10.0,19.0,81.0,28.0,,,,37.0,,,83.0,
12,superkingdom,2,Bacteria,AB910751.1.1495,1603.0,,,,,,,2134.0,,,,,667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,,,3198.0,,,,,,,,,498.0,,,,1072.0,,,,,,,,,,555.0,,,,,,,,,,,,,,,,,,,,,,,,
13,superkingdom,2,Bacteria,AB916502.1.1486,127.0,,,,,,,,,359.0,,,,,,,,86.0,27.0,19.0,,,,,,,,40.0,28.0,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,46.0,,,,,,,44.0,,,,,,132.0,,,,39.0,,42.0,,,64.0,,,,,66.0,,,,,,34.0,,,,,,,82.0,,,
14,genus,551771,Vulcanibacillus,ABAX03000031.168.1689,842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,superkingdom,2,Bacteria,ABFZ02000010.54.1555,730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.0,,,,,,,,,,,,,,,,,,,,,,670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,superkingdom,2,Bacteria,ABIY02000050.88545.90060,634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4941.0,,,,,,,,,,,1203.0,,,,,,,,,,,,,,,,
17,superkingdom,2,Bacteria,ACIJ02000018.407302.408819,701.0,,,,,2637.0,,,,,,2712.0,,41.0,,,,,,,,,,919.0,,373.0,1431.0,,,,,,,,,,,,,,1357.0,,,,,,731.0,,,,,,1668.0,,,,,,,,938.0,,1357.0,,656.0,,,52.0,,,,,617.0,,,,256.0,,,,,,,,,418.0,,,,,436.0,,,,,,,,,747.0
18,superkingdom,2,Bacteria,ADDV01000091.4092.5603,1801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,genus,1434702,Taibaiella,ADMC01000025.1.1458,224.0,,,,,,,,,,,,,,,,,,,,316.0,,,,,,,,,,,,,,,,,,,,384.0,,,,,,,,,,,,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,,
20,genus,12916,Acidovorax,AJ748647.1.1457,3351.0,,,,,,,,2410.0,,,,1994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1671.0,,,3187.0,345.0,,,,,,,,,2141.0,3900.0,,,,,2377.0,2641.0,,2076.0,806.0,,,,,,,,,,,,,,,,,,,,,,,2393.0,4351.0,2697.0,,2600.0,2731.0,,,,,,
21,genus,551771,Vulcanibacillus,AM055815.1.1411,995.0,,,,,,,,,,,,,,,,,,,,,,748.0,373.0,,169.0,,,417.0,166.0,309.0,,,,744.0,,,,,,,,,,76.0,,463.0,,,472.0,365.0,,,,,,144.0,,,,,,305.0,,,,,21.0,,,,,459.0,,,,,,,,,,,,,,,809.0,,,,,,,1476.0,,,506.0,,
22,superkingdom,2,Bacteria,AQOB01000015.415037.416554,80.0,,,,10.0,,,187.0,,,,249.0,,7.0,90.0,,,,,,133.0,,,,,,,,,138.0,,,144.0,,,,,,,43.0,,,,,,,5.0,,,,,,,,,,,,76.0,,,,,95.0,229.0,,,23.0,,,,,,,,,,25.0,,,256.0,,,177.0,,,,,,,,,71.0,,76.0,,,,,
23,genus,1434702,Taibaiella,ARFY01000032.606843.608350,462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735.0,,,,,,,
24,order,85006,Micrococcales,AUFH01000011.3968.5462,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,superkingdom,2,Bacteria,AY278617.1.1441,1359.0,,,,,,,,,2069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328.0,,,,,,,,,,,2409.0,,,,,,,,,,,,,,,,,,1002.0,,,,,,,,,,,,,,,,,,,,,
26,superkingdom,2,Bacteria,AY549431.1.1496,1869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,,,,,,,,,1341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,genus,1434702,Taibaiella,CDRH01001199.128.1633,2062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,genus,551771,Vulcanibacillus,CP000024.17814.19361,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,superkingdom,2,Bacteria,CP001071.1459761.1461265,492.0,,,,,,,,,,,,,,,,,,,,,,805.0,1557.0,,,,,,,,,,,,,,,300.0,,,,,,,,388.0,,,,,,,,,,,,,334.0,766.0,,,,,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448.0,,,,,,
30,superkingdom_,1783272,Terrabacteria group,CP001859.24684.26228,16.0,,,,,291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31,superkingdom,2,Bacteria,CP003040.3095887.3097421,401.0,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.0,,,,,,,,,,,,,,,,79.0,,,,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,phylum,1239,Firmicutes,EU526290.1.1405,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,superkingdom,2,Bacteria,EU541439.1.1500,58.0,,,,,,,,,,,,,,,,,,102.0,,,126.0,,,,,,,,,,,,,,,53.0,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,genus,551771,Vulcanibacillus,GQ337017.1.1479,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,genus,551771,Vulcanibacillus,HM058571.1.1471,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,genus,551771,Vulcanibacillus,HM626177.1.1372,1066.0,,,,3565.0,,,,624.0,,,,,,,611.0,,,,,,71.0,,,1487.0,,,1379.0,,619.0,,,,,,,,,,628.0,,575.0,,,539.0,,,1520.0,,,,,1542.0,,,,,,,,,829.0,,,,,,,,2616.0,,406.0,,,,,1174.0,,652.0,,,,,,797.0,,,,,,4007.0,1560.0,,,56.0,,,,313.0,
37,order,135619,Oceanospirillales,HQ449185.1.1524,7.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,8.0,,,,27.0,,,,,,,,,,,,,,,,,31.0,,,,,,,,,19.0,,,6.0,,,4.0,,,,,,,,,47.0,,,,,,,,,,,,,,,,2.0,,,,,,,
38,superkingdom,2,Bacteria,HQ457025.1.1483,2372.0,478.0,,,,,,,,,,,,,,,,,,5772.0,,,,,,,,,9408.0,,,,,,,,,,,,,,,,3597.0,,,,,,,4469.0,3267.0,,,,,,,,3411.0,,8257.0,4707.0,,,,,12251.0,,,,,,,176.0,,,,,,,,,,,,,,,,,,,,,,,,
39,superkingdom,2,Bacteria,JHEF01000050.37729.39243,454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,superkingdom_,1783272,Terrabacteria group,KC297229.1.1248,74.0,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,genus,551771,Vulcanibacillus,KF574953.1.1444,14.0,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,768.0,,,,334.0,,,,,88.0,,,,35.0,,,,,192.0,,,,417.0,,,,,,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.0,,,
42,genus,551771,Vulcanibacillus,KJ547681.1.1524,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,genus,551771,Vulcanibacillus,LC010692.1.1492,3326.0,992.0,,,1719.0,,,,,,759.0,,,593.0,53.0,,1060.0,,,1676.0,,,,1483.0,594.0,1181.0,,,,495.0,,651.0,741.0,581.0,,523.0,281.0,1724.0,320.0,,,,,,,110.0,,,,,,,616.0,,,122.0,800.0,,,,613.0,,,,,1785.0,,,,1740.0,,,108.0,,,,765.0,,,,,,773.0,1351.0,,85.0,,,,,,623.0,,,,,,,,
44,superkingdom,2,Bacteria,NR_025670.1,13.0,3.0,,,,,,,,10.0,,,,18.0,8.0,,,,,,,,,31.0,,3.0,,,,,3.0,12.0,,,6.0,,,,,,,,,3.0,,,12.0,,,,,4.0,,9.0,,,,,,,17.0,,,,,17.0,,6.0,12.0,,,,7.0,,,,,,,,,13.0,,,,,,5.0,11.0,,,12.0,,,1.0,4.0,,2.0,3.0,
45,genus,551771,Vulcanibacillus,NR_025762.1,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,174.0,,,126.0,,116.0,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,9.0,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,phylum,1239,Firmicutes,NR_041497.1,45.0,,,,,,,,,,,,,,,,,,,,,,779.0,,,,,,,,,,,,363.0,1331.0,,,275.0,,,,,1697.0,,1139.0,,,,,1586.0,,,,,,,,,,,,,,,,607.0,,,,,,,,,,,761.0,,,,,,,,,,,,,,,,2680.0,,,,1428.0,,
47,genus,1434702,Taibaiella,NR_041508.1,939.0,,,,,,,,,,,,,,,1143.0,,,,,,,,471.0,,,,3351.0,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,401.0,1172.0,107.0,,,,,,,,,,,,,3715.0,,,,,,,,,,,,,,,2349.0,,,,,,1143.0,,,,,,
48,genus,551771,Vulcanibacillus,NR_041879.1,99.0,,,,,,,,,,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,
49,phylum,1239,Firmicutes,NR_042074.1,3172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933.0,,,2293.0,,,,,,,,,,,,,1430.0,,,,,,,,,446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214.0,,,
50,superkingdom_,1783272,Terrabacteria group,NR_074343.1,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,genus,551771,Vulcanibacillus,NR_102893.1,47.0,,,,,,,,,222.0,,,,76.0,17.0,,154.0,,,,,,,,,,,24.0,,,61.0,,26.0,36.0,,,,,,,85.0,,,,,172.0,,,,,,,,,,,,,121.0,,,,,,,,,,33.0,,,,,,83.0,,,,,,,,,,103.0,,,,,,,,20.0,,,,,,,
52,superkingdom_,1783272,Terrabacteria group,NR_104696.1,248.0,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,185.0,,,,,,,,,182.0,,,,,,,,,,,,145.0,,,,71.0,,,,,,,,,,,,,,,,,,,,,166.0,,,,,,,,,,,,
53,genus,551771,Vulcanibacillus,NR_104700.1,800.0,,,,,,,,,,,,,,,,,,,,,,,740.0,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.0,,,,,,,,,,,,,,,,
54,superkingdom,2,Bacteria,NR_104842.1,1112.0,1339.0,,,,,,1559.0,,,,,1886.0,,,,,,3041.0,3114.0,,,,,,,,,,,,1013.0,,,,,,,532.0,,,,,,,,,,,,131.0,,,,,,,,,,,,,459.0,,,,,,,,,,,,,,,,,,1070.0,,,352.0,,,,,,,,,,,,,,,
55,class,204432,Acidobacteriia,NR_104846.1,1761.0,521.0,,1168.0,,769.0,2162.0,2476.0,714.0,685.0,,3102.0,1185.0,2584.0,663.0,913.0,18.0,2407.0,2284.0,61.0,165.0,1896.0,499.0,320.0,1171.0,613.0,1306.0,,,474.0,,903.0,706.0,2007.0,792.0,1065.0,1972.0,,1508.0,694.0,1081.0,1249.0,1166.0,3133.0,1705.0,4706.0,,604.0,1296.0,248.0,2238.0,607.0,,,704.0,1698.0,1233.0,1355.0,1432.0,164.0,3.0,1423.0,315.0,3241.0,1608.0,1688.0,1304.0,305.0,,,1320.0,2751.0,2578.0,613.0,,550.0,644.0,506.0,1611.0,3312.0,1240.0,3963.0,3004.0,2539.0,1449.0,101.0,2531.0,,2119.0,,,1093.0,787.0,2871.0,1071.0,1574.0,,1192.0,1140.0,987.0
56,order,135619,Oceanospirillales,NR_104940.1,22.0,,,,,,,,4900.0,,,6691.0,4255.0,,,6339.0,,,,2244.0,537.0,,,1804.0,,,9.0,,,1059.0,10.0,,,,,,,9.0,,,12.0,464.0,,,,10.0,,,,,16.0,,,,,,3005.0,,,,,,,,,,,,,,1114.0,1816.0,,,,,,,,2369.0,,72.0,,,,,,33.0,,,468.0,,,,1534.0,,,,,82.0
57,superkingdom,2,Bacteria,NR_112933.1,1343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.0,,,,756.0,,,,,,,,,,,,,,,,521.0,,,,,,,,,,,,,,,,
58,superkingdom,2,Bacteria,NR_113206.1,3094.0,,,,,,,,,,,,,,,,,,,,,1004.0,,,,,,,,,,,,,,,,,,,,,,20.0,,,,861.0,,,,,,,,,,,1852.0,,,,,1897.0,,730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2555.0,,,,,
59,superkingdom,2,Bacteria,NR_113353.1,861.0,,,,3331.0,,,,,,,,,,,1015.0,,,,,,,,,,,,,,,60.0,,,,1822.0,2046.0,,,,,,,,,,,,,,,53.0,,,4203.0,,,635.0,,5461.0,,,,,,,,,,,,,,,,284.0,,432.0,,,,,,,,,,,,,,,,,,,,,,1004.0,
60,phylum,1239,Firmicutes,NR_113408.1,439.0,,,,392.0,,,,,,,,263.0,,133.0,,,,,,199.0,,187.0,90.0,,,104.0,339.0,12.0,,16.0,,,,14.0,355.0,,458.0,,,,,,195.0,,,,,,,,,123.0,,,,28.0,723.0,,,280.0,,,,,,,,361.0,,,,,,,,,429.0,313.0,474.0,377.0,271.0,,,,,,,,,,,,,,,101.0,,,286.0
61,order,85006,Micrococcales,NR_113873.1,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,order,135619,Oceanospirillales,NR_114080.1,7.0,,1505.0,,,,,,,58.0,1239.0,1721.0,,,,1631.0,,,,,,,,805.0,,3075.0,,,,,7.0,,,,3517.0,,,4.0,,44.0,,,,,,34.0,1049.0,2927.0,,,48.0,,,,,,,,,,,,,3997.0,,,,442.0,,,,,,,,,,,,,,25.0,,4451.0,,459.0,,,,,305.0,,,,394.0,,2235.0,,,61.0
63,genus,551771,Vulcanibacillus,NR_114393.1,134.0,,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,621.0,,,,,,45.0,,,,,,,,,,114.0,,,,,,,,,,97.0,,,,,,126.0,,,,,,,21.0,,,,,,,,,,,,,,,
64,superkingdom,2,Bacteria,NR_118156.1,950.0,99.0,161.0,,,,,1174.0,837.0,,,,,,,,,,,,,,,657.0,96.0,234.0,,,,,,,,,,,,,,530.0,,,,,,,,,994.0,,,,,,890.0,,586.0,,427.0,,,,,,,,,,,833.0,,,,,,,,,,772.0,,193.0,,182.0,,,832.0,,,,975.0,,,,,,,,,
65,genus,1434702,Taibaiella,NR_133025.1,1318.0,,,,1700.0,,,,,,,,,,,,,,,,,,,,,2072.0,,,,,,,,,,,,,,,,,,,,,,2921.0,,4577.0,4467.0,,,,,,921.0,,,,,,,,,,,,,,,,,,,1094.0,,,,,,,,,,,,,1787.0,,,,,,1995.0,,,,2890.0,
66,superkingdom,2,Bacteria,NR_133689.1,1273.0,,83.0,877.0,,296.0,33.0,1198.0,82.0,,,23.0,3954.0,,1166.0,,37.0,,,1793.0,,,,,494.0,113.0,,,1684.0,,,1460.0,,,884.0,1529.0,391.0,523.0,,,,687.0,1208.0,,,,,2284.0,1293.0,25.0,755.0,,1870.0,916.0,,,1718.0,,1179.0,6025.0,2034.0,1082.0,1445.0,2564.0,822.0,,,806.0,,3463.0,402.0,2459.0,,243.0,,900.0,,2382.0,507.0,,144.0,,,,2406.0,,2400.0,1593.0,864.0,,6379.0,2672.0,2864.0,1003.0,3628.0,1121.0,,,,
67,genus,551771,Vulcanibacillus,NR_133762.1,1.0,,,,2.0,16.0,,,9.0,20.0,6.0,11.0,4.0,,1.0,8.0,3.0,,4.0,1.0,,6.0,4.0,,7.0,5.0,10.0,8.0,13.0,1.0,4.0,4.0,,,12.0,,4.0,1.0,,6.0,,,1.0,,1.0,7.0,,1.0,,2.0,,6.0,,,,,,9.0,,11.0,,13.0,2.0,5.0,,,6.0,,7.0,4.0,2.0,,,11.0,21.0,,,4.0,,2.0,,,3.0,,8.0,,,1.0,2.0,2.0,6.0,,,,13.0,,,12.0,3.0,
68,superkingdom_,1783272,Terrabacteria group,X72867.1.1547,154.0,,,,,,,,,,,,331.0,,,,,,,,,,,199.0,670.0,,,,,,,659.0,,,290.0,,,,547.0,,,,,976.0,,,,,1107.0,,880.0,644.0,490.0,,,,471.0,,,,,,362.0,,,489.0,422.0,,,,566.0,,31.0,,41.0,282.0,299.0,,594.0,,,,,613.0,,,332.0,112.0,968.0,183.0,810.0,500.0,,,,789.0,,,1122.0,419.0
69,genus,551771,Vulcanibacillus,AB008213.1.1559,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,superkingdom,2,Bacteria,AB215084.1.1488,,2650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,superkingdom,2,Bacteria,AB490802.1.1477,,990.0,,,,,,,,,,,,,,,,980.0,,,,,,,,,,,,2748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2343.0,,,,,,,,71.0,,,,,,825.0
72,superkingdom,2,Bacteria,AB510698.1.1473,,2070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,214.0,,,,
73,superkingdom,2,Bacteria,AB542765.1.1491,,3687.0,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,1140.0,,,,,,,,,,,,,599.0,,,,,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.0,,,,,,,,,,9.0,,,,69.0,,,,,,,,849.0,
74,superkingdom,2,Bacteria,AB547638.1.1488,,6104.0,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
