,rank,tax_id,tax_name,colind,CC11CM22,CC11CM5,CC11CM20,CC11CM12,CC11CM68,CC11CM2,CC11CM58,CC11CM95,CC11CM17,CC11CM87,CC11CM48,CC11CM35,CC11CM66,CC11CM1,CC11CM84,CC11CM33,CC11CM21,CC11CM39,CC11CM0,CC11CM63,CC11CM44,CC11CM55,CC11CM41,CC11CM25,CC11CM69,CC11CM11,CC11CM89,CC11CM96,CC11CM47,CC11CM40,CC11CM83,CC11CM15,CC11CM70,CC11CM73,CC11CM7,CC11CM6,CC11CM18,CC11CM98,CC11CM36,CC11CM8,CC11CM82,CC11CM26,CC11CM9,CC11CM94,CC11CM78,CC11CM81,CC11CM38,CC11CM75,CC11CM28,CC11CM32,CC11CM88,CC11CM54,CC11CM16,CC11CM4,CC11CM67,CC11CM27,CC11CM79,CC11CM72,CC11CM42,CC11CM76,CC11CM77,CC11CM57,CC11CM56,CC11CM62,CC11CM99,CC11CM64,CC11CM37,CC11CM10,CC11CM97,CC11CM93,CC11CM23,CC11CM61,CC11CM14,CC11CM59,CC11CM60,CC11CM46,CC11CM45,CC11CM53,CC11CM43,CC11CM71,CC11CM3,CC11CM86,CC11CM29,CC11CM31,CC11CM30,CC11CM19,CC11CM85,CC11CM80,CC11CM24,CC11CM52,CC11CM91,CC11CM90,CC11CM13,CC11CM92,CC11CM51,CC11CM65,CC11CM74,CC11CM34,CC11CM50,CC11CM49
0,superkingdom_,1783272,Terrabacteria group,AAVP02000040.351.1861,655.0,,,,,3049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,superkingdom,2,Bacteria,AB200217.1.1490,1049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3181.0,,,,,3336.0,,,,99.0,,,,,,,,,308.0,,,,,,,708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,superkingdom,2,Bacteria,AB253730.1.1456,560.0,,,,,,,,730.0,,,,,,,,,2077.0,4656.0,,,,,,,,,,,,,,298.0,,,,,,,,,,,,,,,,,,,,,,,,887.0,,,,,,,,,,,598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,genus,12916,Acidovorax,AB370250.1.1494,819.0,,,1247.0,,,,1956.0,,,,,,837.0,,,,,,,,,,,,,,,,,1339.0,,,,,,,,,,,,,,,,,,1702.0,,,,,280.0,,,,,,,,1702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2487.0,,,,,,
4,genus,551771,Vulcanibacillus,AB469560.1.1552,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.0,,,,,,,,,,282.0,,1541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,superkingdom,2,Bacteria,AB547645.1.1493,502.0,,,,,,,173.0,,,,,,,,,,,,,,,,,,,,225.0,,,,,,,,,854.0,,,,,,,,,221.0,,,,,,,,1426.0,,,,,,,,1327.0,,,,,,3691.0,,,666.0,,,,,,,,,,,,,,1090.0,,,,1019.0,,,,633.0,,,,,,,
6,superkingdom,2,Bacteria,AB547651.1.1480,157.0,,,,,,,,,,,,,,,,,,,,,,,,226.0,,,,,,,,,,71.0,,,,129.0,,,,,31.0,,,,,,,,319.0,,,,474.0,,,,,,,,10.0,,,124.0,,,,,,,,,,,,,,,,,148.0,,,,,,,,,,95.0,,,,,288.0,
7,genus,551771,Vulcanibacillus,AB639142.1.1524,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,,,,,,,,,,,,,
8,genus,551771,Vulcanibacillus,AB668377.1.1550,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,phylum,1239,Firmicutes,AB671763.1.1497,11.0,,,,,,,,,,,,16.0,,,,,,,,,,,,,9.0,,24.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,19.0,,,,,,,,,,,,,,,,,10.0,,,,,,3.0,,,,,,,,
