,RDP_10398,RDP_5224,RDP_1017,RDP_92,RDP_12
CC11CM27,6.865365231522429,6.866599469277762,6.990722646205745,6.9982514965132765,6.9982514965132765
CC11CM28,6.76242034275815,6.963723731155519,6.991193879024108,6.99304997009631,6.99304997009631
CC11CM29,6.904002320185612,6.9041473317865405,6.970272621809742,6.974664401723564,6.973732184289027
CC11CM30,6.748498972177557,6.712107951885696,6.838865935318419,6.953412166975349,6.953412166975349
CC11CM31,6.2043308809737185,6.652591650861799,6.652591650861799,6.753381546862299,6.9496050519997485
CC11CM32,6.661569081419201,6.81212047360832,6.81212047360832,6.991531103393654,6.98864721054449
CC11CM33,6.785665781838384,6.8767002078317585,6.9938062020289316,7.120830503940572,6.9938062020289316
CC11CM34,6.850914495685561,6.732133272779818,6.754386689236612,6.7875810247306045,6.982659675488212
CC11CM35,6.756042532745618,6.756042532745618,6.908458501326537,6.759802795128372,6.912218763709291
CC11CM36,6.433163746768965,6.851187789767365,6.938087227669962,6.98276781684651,7.015160218274319
CC11CM37,6.897591335273198,6.897712576786292,6.906058034270934,6.907634173941157,6.908038312318138
CC11CM38,6.625138450178448,6.507855765680766,6.578619190220292,6.764942363703493,6.904130943102106
CC11CM39,6.539980256663373,6.539980256663373,6.698871196188675,6.698871196188675,6.907850122322843
CC11CM40,6.673955246755901,6.800408705425565,6.879861040155308,6.897435373454583,7.01935220190048
CC11CM41,6.246451007587502,6.405584563922657,6.4550868891245825,7.024251448152078,6.9237986456718605
CC11CM42,6.459674952588756,6.4590631946002155,6.459674952588756,6.929239992658904,6.928811762066927
CC11CM43,6.839155141436512,6.838528391760334,6.839155141436512,6.964755776542852,6.968244683073584
CC11CM44,6.863145893562443,6.785333279042309,6.785333279042309,6.874506290972761,7.014760372979357
CC11CM45,6.9460240075382025,6.98789380966037,6.98789380966037,6.98789380966037,6.98789380966037
CC11CM46,6.931342532399446,6.979029484544731,6.905045506018539,6.979281130730194,6.990919766807868
CC11CM47,7.038186007540847,7.038186007540847,7.038186007540847,7.038186007540847,7.05058651026393
CC11CM48,6.787174622124631,6.817703114673717,6.817703114673717,6.817703114673717,6.983094207687553
CC11CM49,6.9879444467071234,6.9879444467071234,7.009835865271047,7.012014825072292,7.014051236101494
CC11CM50,6.865693549702359,6.926608497105115,6.926608497105115,6.963181929381067,6.9661175894968625
CC11CM51,6.77037941598646,6.925445080017996,6.927630310431261,6.97416286393727,6.975898193971334
CC11CM52,6.818446088794929,6.817653276955606,6.878831923890067,7.065649224806204,6.969741014799157
CC11CM53,5.7837804502004335,5.7837804502004335,5.911995066296641,6.190502621029912,6.835460992907803
CC11CM54,6.767206313049139,6.767206313049139,6.803083306215426,6.803998535632933,6.981980149690858
CC11CM55,6.8154008011977485,6.8154008011977485,6.894306640229837,6.9204062639096815,6.977946829603851
CC11CM56,6.615868498123173,6.714433032215489,6.7404199150270205,6.867260652559506,6.979622983954134
CC11CM57,6.7654747225647345,6.7654747225647345,6.992930538429922,6.995273325113029,7.003164817098233
CC11CM58,6.991613941018767,6.991613941018767,7.000471849865952,6.991613941018767,6.992428954423592
CC11CM59,6.59412505938978,6.611105372967835,6.582660249127226,6.8226569439567,6.9373876758453985
CC11CM60,6.959039429530201,6.9587877516778525,6.959039429530201,6.959039429530201,7.002957214765101
CC11CM61,5.788942645660175,5.788942645660175,6.34220320059546,6.060372989289998,6.8317206301947655
CC11CM62,6.849260461367546,6.606290979589168,6.644585793016315,6.9352604178012065,6.9352604178012065
CC11CM63,6.688123041868415,6.688123041868415,6.876347804858202,6.949749766041421,6.94763396671685
CC11CM64,6.252599215178608,6.252599215178608,6.476596949714795,6.5773898620494355,6.94415227153202
CC11CM65,6.721816724327062,6.972407391781285,6.972407391781285,6.981773689983968,6.981773689983968
CC11CM66,6.866255144032922,6.882386831275721,6.849053497942387,6.973868312757202,6.987592592592594
CC11CM67,6.542133249921803,6.697153581482642,6.707037847982486,6.904973412574289,6.952768220206445
CC11CM68,6.750235381317731,6.712133656523564,6.750716160179486,6.939542058134174,6.939542058134174
CC11CM69,6.917618419718022,6.967623491226289,6.876214626229839,6.999999999999997,7.062562125976263
CC11CM70,6.862618572649919,6.862618572649919,6.862618572649919,6.9725399991857655,6.9725399991857655
CC11CM71,6.909531937831283,6.839053094960023,6.839053094960023,6.8451172401401505,6.973385140598331
CC11CM72,5.777646037560076,5.687451038512839,5.711905316423533,5.711905316423533,6.826279350426626
CC11CM73,6.682310616069434,6.682310616069434,6.835118599971546,6.9513404743998874,6.877558486961118
CC11CM74,6.740380306037517,6.997374991996925,6.998527434534861,6.998527434534861,6.998527434534861
CC11CM75,6.755409730469615,6.755409730469615,6.871595644034703,7.017794239014474,6.940799935586466
CC11CM76,6.788094036928664,6.8475431338916355,6.928544041973565,6.963293310463122,6.963293310463122
CC11CM77,6.45370029831229,6.453577704221325,6.561460504270363,6.912815168975524,6.919435249887624
CC11CM78,7.0031787584143625,7.003469625197376,7.003469625197376,7.090314136125656,7.015312058505778
CC11CM79,6.771543209876543,6.771543209876543,6.931851851851852,6.961111111111111,6.961460905349795
CC11CM80,6.706545910322242,6.710912545991186,6.710912545991186,6.950713621477379,6.95570695022844
CC11CM81,6.625625216911992,6.629299961211034,6.629299961211034,6.912561500928896,6.899883633097199
CC11CM82,6.915026268175178,6.915026268175178,6.967083033592744,6.9693065637738965,6.9693065637738965
CC11CM83,6.306193655083394,6.330476171268376,6.424258314341609,6.850170421313756,6.853720025008571
CC11CM84,6.764970059880239,6.777544910179641,6.871556886227545,7.052908468776731,7.018605645851156
