,RDP_10398,RDP_5224,RDP_1017,RDP_92,RDP_12
CC11CM41,0.0,0.0,0.0,0.0,0.0
CC11CM42,7.49607455290687,7.506270519382532,7.49607455290687,0.0,0.0
CC11CM43,2.0933439184389755,2.1037897463752975,2.0933439184389755,0.0,0.0
CC11CM44,1.6938800439757318,2.9907569526446514,2.9907569526446514,1.49761880636336,0.0
CC11CM45,0.5981400303166864,0.0,0.0,0.0,0.0
CC11CM46,0.7989766388457828,0.004194103091053978,1.2372604118609236,0.0,0.0
CC11CM47,0.0,0.0,0.0,0.0,0.0
CC11CM48,0.0,0.0,0.0,0.0,0.0
CC11CM49,0.0,0.0,0.0,0.0,0.0
CC11CM5,0.883439087589007,3.8438781547752634,3.4664272743965885,3.4664272743965885,0.0
CC11CM50,0.0,0.0,0.0,0.0,0.0
CC11CM51,3.027186837200334,0.8119630653212503,0.7755425584334897,0.0,0.0
CC11CM52,2.521582100070472,2.5347956307258634,1.5151515151515151,0.0,0.0
CC11CM53,17.222736149655667,17.222736149655667,15.391098776852708,10.087194722018596,0.0
CC11CM54,3.4941425317279533,3.4941425317279533,2.981614057923853,2.978887692276431,0.0
CC11CM55,3.9250596851859347,2.709100473435034,1.3940031562335613,0.959009428236151,0.0
CC11CM56,4.797261065049706,3.3906694716000496,3.0194282885781463,0.9054159963700861,0.0
CC11CM57,3.614878750513769,3.614878750513769,0.0,0.0,0.0
CC11CM58,0.0,0.0,0.0,0.0,0.0
CC11CM59,5.434939783924476,5.151934557623582,5.877006341795947,2.0533545608556323,0.0
CC11CM6,1.7072710895112804,1.7072710895112804,1.0055093533317971,0.0,0.0
CC11CM60,0.7319630872483222,0.7361577181208054,0.7319630872483222,0.7319630872483222,0.0
CC11CM61,17.011950543770414,17.011950543770414,8.158623826655088,12.863421579349193,0.0
CC11CM62,1.433332607227656,5.482823970200624,4.844577079748187,0.0,0.0
CC11CM63,0.0,0.0,0.0,0.0,0.0
CC11CM64,10.613293418018529,10.613293418018529,7.329207620434413,5.807995214834015,0.0
CC11CM65,3.7359716479621974,0.15610497004472196,0.15610497004472196,0.0,0.0
CC11CM66,1.7551440329218106,1.5246913580246915,2.080246913580247,0.0,0.0
CC11CM67,6.474820143884892,4.26024397873006,4.095506203732667,1.1877885573657128,0.0
CC11CM68,3.155111280274044,3.7901400268434866,3.1470982992447762,0.0,0.0
CC11CM69,1.2617912567197485,0.5396084795618217,2.0630895628359873,0.0,0.0
CC11CM7,0.9889159009435907,1.2691087395442746,1.2691087395442746,1.2691087395442746,0.0
CC11CM70,1.8320237755974431,1.8320237755974431,1.8320237755974431,0.0,0.0
CC11CM71,0.7276974216153086,1.9023448028029826,1.9023448028029826,1.8012757164675233,0.0
CC11CM72,0.0,0.0,0.0,0.0,0.0
CC11CM73,3.1667310311185184,3.1667310311185184,0.6199312994166548,0.0,0.0
CC11CM74,3.6984868856307487,0.01920737563224278,0.0,0.0,0.0
CC11CM75,3.089836751947503,3.089836751947503,1.1534048591960384,0.0,0.0
CC11CM76,2.9199878922409446,1.9291696095247706,0.579154474825951,0.0,0.0
CC11CM77,7.6519145110539,7.653957745903314,5.855911078419354,0.0,0.0
CC11CM78,0.2015291282306989,0.19737388847336493,0.19737388847336493,0.0,0.0
CC11CM79,2.89917695473251,2.89917695473251,0.4833676653545716,0.0,0.0
CC11CM8,4.696282109996252,4.696282109996252,3.632540905116782,2.3939196878556332,0.0
CC11CM80,4.069461852585614,3.9966845914365425,3.9966845914365425,0.0,0.0
